Participant,Audio,Clip,Time,question_s,question_e,Spanish
P1BA,IWP1BA,clip 1,0.17,¿Has ido a alguna otra ciudad aquí en Colombia? ¿Ha dónde has ido?,Have you been to any other cities here in Colombia? Where have you been?,
P1BA,IWP1BA,clip 2,0.27,¿Qué le dirías a un extranjero sobre Colombia?,What would you tell a foreigner about Colombia?,
P2BA,IWP2BA,clip 1,0.12,¿Te colocaban otro tipo de castigo en casa por portarte mal?,Did you get any other kind of punishment at home for misbehaving?,
P2BA,IWP2BA,clip 2,0.16,¿Y eso mismo haces con tus hijos?,And you do the same with your children?,
P2BA,IWP2BA,clip 3,0.17,¿Qué es algo en particular de la región Caribe o de la ciudad con lo que tú te identificas?,What is something particular about the Caribbean region or the city that you identify with?,
P2BA,IWP2BA,clip 4,0.09,¿Qué crees tú que debería saber un extranjero sobre Colombia?,What do you think a foreigner should know about Colombia?,
P3BA,IWP3BA,clip 1,0.19,¿Tiene algún plan para el futuro?,Do you have any plans for the future?,
P3BA,IWP3BA,clip 2,0.22,¿Tiene alguna parte favorita del negocio? ¿Algo que le guste del negocio?,Do you have any favorite parts of the business? Anything you enjoy about it?,
P3BA,IWP3BA,clip 3,0.19,¿Tiene algún recuerdo memorable de cuando ha ido a hacer compra u organizando la tienda?,Do you have any memorable memories from shopping or organizing the store?,
P3BA,IWP3BA,clip 4,0.25,¿Usted qué opina de esta ciudad? ¿Siempre ha vivido aquí en esta ciudad?,What do you think of this city? Have you always lived here in this city?,
P3BA,IWP3BA,clip 5,0.44,"Aunque haya cosas que no le gusta como la inseguridad, el microtrafico, tiene que haber algo que le guste","Even though there are things you don’t like, such as insecurity or drug dealing, there has to be something you do like",
P3BA,IWP3BA,clip 6,0.18,¿Qué le gusta hacer con sus amigos o con su familia?,What do you like to do with your friends or with your family?,
P3BA,IWP3BA,clip 7,0.22,¿Hay algo de esta ciudad en particular con lo que usted se identifique más?,Is there something in particular about this city that you identify with the most?,
P3BA,IWP3BA,clip 8,0.40,¿Qué cree usted que deberían saber los extranjeros sobre Colombia?,What do you think foreigners should know about Colombia?,
P4BA,IWP4BA,clip 1,0.19,¿Y has pensado en qué tipo de trabajo quieres realizar? (Planes y proyectos para el futuro),And have you thought about what kind of work you would like to do? (Plans and projects for the future),
P4BA,IWP4BA,clip 2,0.14,¿Tienes un tipo de negocios favorito?,Do you have a favorite type of business?,
P4BA,IWP4BA,clip 3,0.24,¿Tienes algún recuerdo de la universidad o del colegio bueno que te impulse a hacer algún negocio o que sea bueno que te haga sonreir?,"Do you have any good memory from university or school that motivates you to start a business, or that is simply a nice memory that makes you smile?",
P4BA,IWP4BA,clip 4,0.25,¿No habían como clases extracurriculares de negocios?,Weren’t there extracurricular business classes?,
P4BA,IWP4BA,clip 5,0.18,¿Qué es lo que más te gusta de vivir aquí?,,
P4BA,IWP4BA,clip 6,0.12,¿Hay algo de esta ciudad en particular con lo que usted se identifique más? ,,
P4BA,IWP4BA,clip 7,0.27,"¿Cómo crees tú que la gente del interior te ve a ti por ser de esta región? Los paises, vallunos, rolos, ...",,
P5BA,IWP5BA,clip 1,0.16,¿Tienes algún plan para el futuro?,,
P5BA,IWP5BA,clip 2,0.20,¿Cuándo estabas en el colegio o en la universidad tenías algún profesor favorito?,,
P5BA,IWP5BA,clip 3,0.16,¿Cómo describirías a ese profesor?,,
P5BA,IWP5BA,clip 4,0.34,¿Tienes algún buen recuerdo de ese profesor de educación física o el de matemáticas? ,,
P5BA,IWP5BA,clip 5,0.16,¿Qué es algo en particular de la región Caribe o de la ciudad con lo que tú te identificas más?,,
P5BA,IWP5BA,clip 6,0.13,¿Tienes amigos o personas que conozcas que son de oras ciudades o regiones? ¿Crees que ellos tienen una cultura o una identidad diferente a la tuya?,,
P5BA,IWP5BA,clip 7,0.14,¿Qué crees tú que los extranjeros deberían saber sobre Colombia?,,
P6BA,IWP6BA,clip 1,0.11,¿Por qué te gusta ese profesor?,,
P6BA,IWP6BA,clip 2,0.13,¿Tienes algún plan para el futuro?,,
P6BA,IWP6BA,clip 3,0.05,¿Y no sabes en qué país o en qué te quieres especializar? ,,
P6BA,IWP6BA,clip 4,0.26,"¿Tienes algún recuerdo de la clases que digas ""wow, me gustó esto porque hicimos esto""?",,
P6BA,IWP6BA,clip 5,0.10,¿Y de dónde eran tus compañeros en ese grupo?,,
P6BA,IWP6BA,clip 6,0.18,"¿Y entre la persona que era de Valledupar y tú, tenían alguna diferencia o similitud?",,
P6BA,IWP6BA,clip 7,0.12,¿Qué te gusta de vivir aquí en Barranquilla?,,
P6BA,IWP6BA,clip 8,0.06,¿Qué te gusta hacer con tus amigos?,,
P6BA,IWP6BA,clip 9,0.21,¿Qué es lo más divertido que haces con tu familia y que no haces con tus amigos?,,
P6BA,IWP6BA,clip 10,0.23,"¿Sientes que tienes algo en particular que te identifique por ser de esta región de esta ciudad a ti y a tus amigos, a tus familiares?",,
P6BA,IWP6BA,clip 11,0.24,¿Será que tienes algún interés o algún pasatiempos que otras personas no lo tengan o no lo vean normal?,,
P7BA,IWP7BA,clip 1,0.04,¿Tienes algún apodo o nombre que prefieras?,,
P7BA,IWP7BA,clip 2,0.15,¿Cómo te va este semestre y qué estudias?,,
P7BA,IWP7BA,clip 3,0.19,¿Cómo eran los semestres anteriores?,,
P7BA,IWP7BA,clip 4,0.51,¿Cuáles son tus planes a futuro?,,
P7BA,IWP7BA,clip 5,0.13,¿El diplomado en qué lo vas a hacer?,,
P7BA,IWP7BA,clip 6,0.38,¿Tienes o has tenido algún profesor favorito? ¿Por qué?,,
P7BA,IWP7BA,clip 7,0.08,¿Cuál es la diferencia entre tú y ella?,,
P7BA,IWP7BA,clip 8,0.10,¿Cómo describes tu personalidad?,,
P7BA,IWP7BA,clip 9,0.09,¿Cómo la describes a ella?,,
P7BA,IWP7BA,clip 10,0.14,¿Tú naciste aquí en Barranquilla?,,
P7BA,IWP7BA,clip 11,0.19,¿Cuál sería la diferencia entre las personas de Sincelejo y las personas de aquí de Barranquilla?,,
P7BA,IWP7BA,clip 12,0.25,¿Qué crees tú que deberían saber los extranjeros sobre Colombia o los colombianos?,,
P8BA,IWP8BA,clip 1,0.11,¿Cuándo te presentas dices tu apodo o tu nombre?,,
P8BA,IWP8BA,clip 2,0.03,¿Qué estás estudiando aquí en la universidad y cómo te va?,,
P8BA,IWP8BA,clip 3,0.38,¿Tienes algún profesor favorito en francés o no tienes? El francés es el idioma favorito de ella,,
P8BA,IWP8BA,clip 4,0.27,¿Qué libros están leyendo con el profesor de inglés?,,
P8BA,IWP8BA,clip 5,0.34,¿Tienes algún recuerdo memorable del colegio o de la universidad?,,
P8BA,IWP8BA,clip 6,0.09,¿Piensas que en el futuro te vas a quedar aquí o vas a salir del país?,,
P8BA,IWP8BA,clip 7,0.10,¿A dónde te gustaría ir?,,
P8BA,IWP8BA,clip 8,0.10,¿Quieres enseñar francés cuando termines?,,
P8BA,IWP8BA,clip 9,0.52,¿Por qué no te gustaría vivir en tu ciudad actual?,,
P8BA,IWP8BA,clip 10,0.17,¿Cómo defines tu personalidad?,,
P9BA,IWP9BA,clip 1,0.21,¿Tienes algún plan a futuro con esa carrera?,,
P9BA,IWP9BA,clip 2,0.31,¿Tienes algún profesor favorito en la universidad?,,
P9BA,IWP9BA,clip 3,0.32,¿Cuándo te mudaste a Barranquilla y por qué?,,
P9BA,IWP9BA,clip 4,0.28,¿Te gusta Barranquilla?,,
P9BA,IWP9BA,clip 5,0.21,¿Cuál es la diferencia entre las personas de Ibagué y las de aquí de Barranquilla?,,
P9BA,IWP9BA,clip 6,0.15,¿Crees que el hecho de que eres introvertida es una barrera para conseguir amigos o te abre posibilidades?,,
P9BA,IWP9BA,clip 7,0.20,¿Qué hacen las personas cuando te escuchan hablar? ¿Saben que no eres de Barranquilla?,,
P9BA,IWP9BA,clip 8,0.28,¿Cómo crees tú que las otras personas ven a los costeños? Teniendo en cuenta que no eres de aquí pero has estado viviendo por 3 años en la ciudad.,,
P9BA,IWP9BA,clip 9,0.08,¿Qué le dirías a un extranjero sobre Colombia?,,
P10BA,IWP10BA,clip 1,0.05,¿Tienes algún apodo o nombre que prefieras?,,
P10BA,IWP10BA,clip 2,0.45,¿Tienes algún profesor favorito en la universidad? ¿Por qué?,,
P10BA,IWP10BA,clip 3,1.02,¿Tienes contacto con esa profesora aún? ¿Cómo?,,
P10BA,IWP10BA,clip 4,0.28,¿Te gusta vivir aquí o te gusatría salir del país?,,
P10BA,IWP10BA,clip 5,1.02,¿Hay algo de esta ciudad en particular con lo que te identifiques más?,,
P10BA,IWP10BA,clip 6,0.08,¿Cómo crees tú que las otras personas ven a los costeños? ,,
P10BA,IWP10BA,clip 7,0.16,¿Cómo describes tu personalidad? ¿Te consideras una persona hogareña…?,,
P11BA,IWP11BA,clip 1,0.08,¿Cuál de los dos idiomas te gusta más?,,
P11BA,IWP11BA,clip 2,0.18,¿Pero cuál te gusta más el inglés o el francés?,,
P11BA,IWP11BA,clip 3,0.28,¿Por qué te gusta tu actual profesora de francés?,,
P11BA,IWP11BA,clip 4,0.20,¿Cuál es un recuerdo que te viene a la mente cuando piensas en tu profesora anterior de francés?,,
P11BA,IWP11BA,clip 5,0.21,¿En un futuro piensas que vas a estar aquí o piensas que vas a ir a otro lugar?,,
P11BA,IWP11BA,clip 6,0.28,¿Hay algo de esta ciudad en particular con lo que te identifiques más?,,
P11BA,IWP11BA,clip 7,0.10,¿Cuál es la diferencia entre nosotros que somos calidos aquí en Barranquilla y otras personas de otras ciudades en Colombia?,,
P11BA,IWP11BA,clip 8,0.23,¿Cómo describes tu personalidad?,,
P12BA,IWP12BA,clip 1,0.16,¿Tu carrera es nutrición e idiomas?,,
P12BA,IWP12BA,clip 2,0.20,¿Por qué te gusta el francés?,,
P12BA,IWP12BA,clip 3,0.31,¿Cuál sería tu plan para el futuro con el francés?,,
P12BA,IWP12BA,clip 4,0.27,¿Y que harías con la nutrición?,,
P12BA,IWP12BA,clip 5,0.16,"¿Y también trabajar en los planes nutricionales, no?",,
P12BA,IWP12BA,clip 6,0.07,¿Cuántos semestres de nutrición son?,,
P12BA,IWP12BA,clip 7,0.14,¿Cómo vas a hacer con las prácticas y las clases?,,
P12BA,IWP12BA,clip 8,0.25,¿Dónde aprendiste inglés?,,
P12BA,IWP12BA,clip 9,0.20,¿Qué palabra usarías para describirte como costeño?,,
P13BA,IWP13BA,clip 1,0.17,¿Te gustan las lenguas?,,
P13BA,IWP13BA,clip 2,0.25,¿Quieres aprender los idiomas porque quieres ser profesor o por algo más?,,
P13BA,IWP13BA,clip 3,0.09,¿Entonces tus planes a futuro es enseñar pero no idiomas sino en el idioma?,,
P13BA,IWP13BA,clip 4,0.06,¿Tienes algún recuerdo bueno o malo de cuando estabas en el colegio?,,
P13BA,IWP13BA,clip 5,0.19,¿sí? Cuentame más sobre ese recuerdo,,
P13BA,IWP13BA,clip 6,0.32,¿Aprendiste a contar en inglés en el colegio entonces?,,
P13BA,IWP13BA,clip 7,0.46,¿Quién te enseñó? ¿Consideras que ese es tu profesor favorito?,,
P13BA,IWP13BA,clip 8,0.25,¿Cómo describes a tus amigos?,,
P13BA,IWP13BA,clip 9,0.12,Sigue hablando de los amigos,,
P13BA,IWP13BA,clip 10,0.21,"¿Crees que son como esas personas que cualquier persona diría ""tiene personalidad costeña""?",,
P13BA,IWP13BA,clip 11,0.19,¿Tienen diferencia ustedes?,,
P14BA,IWP14BA,clip 1,0.09,¿Por qué te llama Sheshy tu hermanita? ,,
P14BA,IWP14BA,clip 2,0.12,"¿Por qué Chelsey, de la ciudad, del equipo?",,
P14BA,IWP14BA,clip 3,0.27,¿Qué te gusta de la universidad o de la carrera?,,
P14BA,IWP14BA,clip 4,0.36,¿Quiénes han sido tus profesores en francés?,,
P14BA,IWP14BA,clip 5,0.34,¿Tienes algún plan a futuro con el francés o con la carrera? ¿Estudiar o vivir allá?,,
P14BA,IWP14BA,clip 6,0.38,¿Tienes algún buen recuerdo con esa profesora de francés? ,,
P14BA,IWP14BA,clip 7,0.48,¿Qué te gusta de Barranquilla?,,
P14BA,IWP14BA,clip 8,0.35,¿Crees que hay diferencias entre regiones o ciudades?,,
P15BA,IWP15BA,clip 1,0.29,¿Tienes algún plan para el futuro? ¿Algo que quieras hacer?,,
P15BA,IWP15BA,clip 2,0.12,¿Quién era tu profesor favorito cuando estabas en el colegio?,,
P15BA,IWP15BA,clip 3,0.06,¿Has vivido en otra parte de Colombia?,,
P15BA,IWP15BA,clip 4,0.13,¿Cuál es la diferencia entre Bogotá y Barranquilla?,,
P15BA,IWP15BA,clip 5,0.17,¿Cómo son las personas de Bogotá y de Barranquilla?,,
P15BA,IWP15BA,clip 6,0.14,"¿Según tú, qué es lo que piensan los cachacos de los costeños?",,
P15BA,IWP15BA,clip 7,0.11,¿Qué crees tú que debería saber un extranjero sobre Colombia?,,
P16BA,IWP16BA,clip 1,0.03,¿Tienes algún apodo? ¿Por qué?,,
P16BA,IWP16BA,clip 2,0.06,¿Por cuánto tiempo estás incapacitado?,,
P16BA,IWP16BA,clip 3,0.21,¿Cómo te sientes?,,
P16BA,IWP16BA,clip 4,0.19,¿Puedes cargar a tu hijo?,,
P16BA,IWP16BA,clip 5,0.20,¿Qué fue lo que te pasó?,,
P16BA,IWP16BA,clip 6,0.13,¿A qué te dedicas y qué estudiaste?,,
P16BA,IWP16BA,clip 7,0.19,¿Cómo conociste a tu profesor favorito?,,
P16BA,IWP16BA,clip 8,0.26,¿Cuál era tu profesor menos favorito?,,
P17BA,IWP17BA,clip 1,0.04,¿A qué se dedica?,,
P17BA,IWP17BA,clip 2,0.06,¿Qué es lo que más te gusta de tu negocio?,,
P17BA,IWP17BA,clip 3,0.06,¿Tienes algún plan para el futuro?,,
P17BA,IWP17BA,clip 4,0.09,¿Siempre has querido viajar?,,
P17BA,IWP17BA,clip 5,0.08,¿Tienes algún buen recuerdo de cuando estabas pequeña?,,
P17BA,IWP17BA,clip 6,0.06,¿Qué opinas de tu ciudad?,,
P17BA,IWP17BA,clip 7,0.13,¿Qué haces con tu familia en tu tiempo libre?,,
P17BA,IWP17BA,clip 8,0.14,¿Qué hacen cuando van a la playa?,,
P17BA,IWP17BA,clip 9,0.04,¿Crees que el hecho de estar en familia es algo culturalmente de costeños o de todos los colombianos?,,
P17BA,IWP17BA,clip 10,0.12,¿Qué debería saber un extranjero sobre Colombia?,,
P18BA,IWP18BA,clip 1,0.04,¿Qué planes tiene para el futuro?,,
P18BA,IWP18BA,clip 2,0.11,¿A dónde te gustaría ir?,,
P18BA,IWP18BA,clip 3,0.07,¿Has ido alguna vez o has visto fotos?,,
P18BA,IWP18BA,clip 4,0.05,"¿Tu prima vive allá, cierto? ¿Ella te manda videos y fotos?",,
P18BA,IWP18BA,clip 5,0.22,¿Cuál sería la diferencia de vivir en Canadá y Colombia? ,,
P18BA,IWP18BA,clip 6,0.17,¿Cuál sería una diferencia entre los canadiences y los barranquilleros o colombianos?,,
P18BA,IWP18BA,clip 7,0.12,¿Qué querías hacer cuando estabas niña? ¿Tenías el mismo sueño de viajar?,,
P18BA,IWP18BA,clip 8,0.16,¿Cómo nos ven los paisas u otras regiones a nosotros los costeños?,,
P18BA,IWP18BA,clip 9,0.20,¿Qué le dirías a un extranjero sobre Colombia?,,
P19BA,IWP19BA,clip 1,0.13,¿Por qué tienes ese apodo?,,
P19BA,IWP19BA,clip 2,0.09,¿Qué es lo bueno de trabajar como independiente?,,
P19BA,IWP19BA,clip 3,0.16,¿Normalmente trabajas mucho o poco?,,
P19BA,IWP19BA,clip 4,0.15,¿Cuál es la diferencia entre vivir aquí en Barranquilla y Panamá?,,
P19BA,IWP19BA,clip 5,0.34,¿Tienes algún plan de qué hacer allá? ¿Cuándo estabas pequeño también tenías ese plan?,,
P19BA,IWP19BA,clip 6,0.20,¿Qué crees que vas a encontrar en Panamá que no tienes aquí en Barranquilla?,,
P19BA,IWP19BA,clip 7,0.46,¿Por qué crees que hay mucha violencia e inseguridad aquí en Colombia?,,
P19BA,IWP19BA,clip 8,0.18,¿Por qué en Panamá no sucede? Por el gobierno…,,
P19BA,IWP19BA,clip 9,0.16,¿Qué le dirías a un extranjero si viene a Colombia?,,
